ID: 1 crossed going down at Thu Aug  5 16:10:32 2021
ID: 7 crossed going down at Thu Aug  5 16:10:33 2021
ID: 7 crossed going up at Thu Aug  5 16:10:35 2021
ID: 7 crossed going down at Thu Aug  5 16:10:35 2021
ID: 13 crossed going down at Thu Aug  5 16:10:36 2021
ID: 15 crossed going up at Thu Aug  5 16:10:37 2021
ID: 18 crossed going down at Thu Aug  5 16:10:39 2021
ID: 18 crossed going down at Thu Aug  5 16:10:43 2021
ID: 18 crossed going down at Thu Aug  5 16:10:44 2021
ID: 18 crossed going down at Thu Aug  5 16:10:44 2021
ID: 21 crossed going down at Thu Aug  5 16:10:44 2021
ID: 22 crossed going down at Thu Aug  5 16:10:44 2021
ID: 23 crossed going up at Thu Aug  5 16:10:45 2021
ID: 21 crossed going down at Thu Aug  5 16:10:45 2021
ID: 22 crossed going up at Thu Aug  5 16:10:45 2021
ID: 21 crossed going down at Thu Aug  5 16:10:46 2021
ID: 26 crossed going down at Thu Aug  5 16:10:46 2021
ID: 26 crossed going down at Thu Aug  5 16:10:46 2021
ID: 26 crossed going down at Thu Aug  5 16:10:47 2021
ID: 21 crossed going up at Thu Aug  5 16:10:47 2021
ID: 21 crossed going up at Thu Aug  5 16:10:47 2021
ID: 21 crossed going down at Thu Aug  5 16:10:47 2021
ID: 21 crossed going up at Thu Aug  5 16:10:48 2021
ID: 21 crossed going down at Thu Aug  5 16:10:49 2021
ID: 44 crossed going up at Thu Aug  5 16:10:50 2021
ID: 21 crossed going down at Thu Aug  5 16:10:50 2021
ID: 40 crossed going up at Thu Aug  5 16:10:50 2021
ID: 40 crossed going up at Thu Aug  5 16:10:50 2021
ID: 40 crossed going up at Thu Aug  5 16:10:50 2021
ID: 40 crossed going up at Thu Aug  5 16:10:51 2021
ID: 40 crossed going up at Thu Aug  5 16:10:51 2021
ID: 40 crossed going down at Thu Aug  5 16:10:51 2021
ID: 48 crossed going down at Thu Aug  5 16:10:51 2021
ID: 48 crossed going up at Thu Aug  5 16:10:51 2021
ID: 48 crossed going down at Thu Aug  5 16:10:51 2021
ID: 48 crossed going up at Thu Aug  5 16:10:51 2021
ID: 48 crossed going up at Thu Aug  5 16:10:52 2021
ID: 48 crossed going up at Thu Aug  5 16:10:52 2021
ID: 48 crossed going up at Thu Aug  5 16:10:52 2021
ID: 48 crossed going down at Thu Aug  5 16:10:52 2021
ID: 48 crossed going up at Thu Aug  5 16:10:53 2021
ID: 60 crossed going up at Thu Aug  5 16:10:53 2021
ID: 48 crossed going down at Thu Aug  5 16:10:53 2021
ID: 60 crossed going up at Thu Aug  5 16:10:53 2021
ID: 62 crossed going up at Thu Aug  5 16:10:53 2021
ID: 63 crossed going up at Thu Aug  5 16:10:53 2021
ID: 48 crossed going down at Thu Aug  5 16:10:53 2021
ID: 48 crossed going down at Thu Aug  5 16:10:53 2021
ID: 70 crossed going down at Thu Aug  5 16:11:02 2021
ID: 70 crossed going down at Thu Aug  5 16:11:02 2021
ID: 70 crossed going down at Thu Aug  5 16:11:03 2021
ID: 70 crossed going down at Thu Aug  5 16:11:03 2021
ID: 72 crossed going down at Thu Aug  5 16:11:05 2021
ID: 86 crossed going down at Thu Aug  5 16:11:16 2021
ID: 87 crossed going down at Thu Aug  5 16:11:17 2021
ID: 93 crossed going up at Thu Aug  5 16:11:25 2021
ID: 94 crossed going down at Thu Aug  5 16:11:25 2021
ID: 93 crossed going down at Thu Aug  5 16:11:25 2021
ID: 98 crossed going down at Thu Aug  5 16:11:26 2021
ID: 93 crossed going up at Thu Aug  5 16:11:26 2021
ID: 93 crossed going down at Thu Aug  5 16:11:26 2021
ID: 99 crossed going up at Thu Aug  5 16:11:26 2021
ID: 99 crossed going up at Thu Aug  5 16:11:26 2021
ID: 100 crossed going down at Thu Aug  5 16:11:26 2021
ID: 105 crossed going down at Thu Aug  5 16:11:29 2021
ID: 107 crossed going down at Thu Aug  5 16:11:30 2021
ID: 119 crossed going up at Thu Aug  5 16:11:49 2021
ID: 116 crossed going up at Thu Aug  5 16:11:49 2021
ID: 116 crossed going up at Thu Aug  5 16:11:50 2021
ID: 116 crossed going down at Thu Aug  5 16:11:50 2021
ID: 124 crossed going down at Thu Aug  5 16:11:51 2021
ID: 124 crossed going up at Thu Aug  5 16:11:51 2021
ID: 118 crossed going up at Thu Aug  5 16:11:52 2021
ID: 146 crossed going up at Thu Aug  5 16:12:03 2021
ID: 144 crossed going up at Thu Aug  5 16:12:03 2021
ID: 149 crossed going up at Thu Aug  5 16:12:05 2021
ID: 165 crossed going up at Thu Aug  5 16:12:31 2021
ID: 165 crossed going down at Thu Aug  5 16:12:31 2021
ID: 165 crossed going up at Thu Aug  5 16:12:31 2021
ID: 165 crossed going down at Thu Aug  5 16:12:32 2021
ID: 165 crossed going up at Thu Aug  5 16:12:32 2021
ID: 165 crossed going down at Thu Aug  5 16:12:32 2021
ID: 175 crossed going down at Thu Aug  5 16:15:39 2021
ID: 175 crossed going down at Thu Aug  5 16:15:40 2021
ID: 186 crossed going up at Thu Aug  5 16:15:41 2021
ID: 175 crossed going down at Thu Aug  5 16:15:41 2021
ID: 175 crossed going up at Thu Aug  5 16:15:41 2021
ID: 175 crossed going down at Thu Aug  5 16:15:41 2021
ID: 175 crossed going up at Thu Aug  5 16:15:41 2021
ID: 175 crossed going down at Thu Aug  5 16:15:42 2021
ID: 175 crossed going up at Thu Aug  5 16:15:42 2021
ID: 175 crossed going down at Thu Aug  5 16:15:42 2021
